data_model,pattern,sigmas,seed,method,squared_error,weighted_to_analytic_error,gaussian_expected_weighted_risk,gaussian_expected_uniform_risk
laplace,0,0.1;1.0,11,precision_weighted_csm,0.016619096616830226,2.1357462385336807e-10,nan,nan
laplace,0,0.1;1.0,11,uniform_csm,1.008939631389977,nan,nan,nan
laplace,0,0.1;1.0,11,analytic_precision_mean,0.01661909661468136,nan,nan,nan
laplace,0,0.1;1.0,12,precision_weighted_csm,0.009452648198081491,1.7191988872609516e-10,nan,nan
laplace,0,0.1;1.0,12,uniform_csm,0.20151658445456677,nan,nan,nan
laplace,0,0.1;1.0,12,analytic_precision_mean,0.009452648188661357,nan,nan,nan
laplace,0,0.1;1.0,13,precision_weighted_csm,0.10720896555361294,2.4234756047237874e-10,nan,nan
laplace,0,0.1;1.0,13,uniform_csm,1.5262802840607699,nan,nan,nan
laplace,0,0.1;1.0,13,analytic_precision_mean,0.10720896556823727,nan,nan,nan
laplace,0,0.1;1.0,14,precision_weighted_csm,0.004146791592603753,1.5980950548769037e-10,nan,nan
laplace,0,0.1;1.0,14,uniform_csm,3.664239187379683,nan,nan,nan
laplace,0,0.1;1.0,14,analytic_precision_mean,0.004146791588136719,nan,nan,nan
laplace,0,0.1;1.0,15,precision_weighted_csm,0.061859959253719794,2.0877511356533803e-10,nan,nan
laplace,0,0.1;1.0,15,uniform_csm,4.889894605622274,nan,nan,nan
laplace,0,0.1;1.0,15,analytic_precision_mean,0.061859959186719264,nan,nan,nan
laplace,1,0.1;0.3;1.0;2.0,0,precision_weighted_csm,0.008649002568512929,1.3292007777725197e-10,nan,nan
laplace,1,0.1;0.3;1.0;2.0,0,uniform_csm,0.25806835458409355,nan,nan,nan
laplace,1,0.1;0.3;1.0;2.0,0,analytic_precision_mean,0.008649002586741748,nan,nan,nan
laplace,1,0.1;0.3;1.0;2.0,1,precision_weighted_csm,0.01284827758851339,3.027963792343856e-10,nan,nan
laplace,1,0.1;0.3;1.0;2.0,1,uniform_csm,1.3424586563384193,nan,nan,nan
laplace,1,0.1;0.3;1.0;2.0,1,analytic_precision_mean,0.012848277578258228,nan,nan,nan
laplace,1,0.1;0.3;1.0;2.0,2,precision_weighted_csm,0.028082929078373023,1.183079515441049e-10,nan,nan
laplace,1,0.1;0.3;1.0;2.0,2,uniform_csm,0.4362766077713787,nan,nan,nan
laplace,1,0.1;0.3;1.0;2.0,2,analytic_precision_mean,0.028082929083538117,nan,nan,nan
laplace,1,0.1;0.3;1.0;2.0,3,precision_weighted_csm,0.05642439990561755,2.494944354390538e-10,nan,nan
laplace,1,0.1;0.3;1.0;2.0,3,uniform_csm,6.011039327383753,nan,nan,nan
laplace,1,0.1;0.3;1.0;2.0,3,analytic_precision_mean,0.056424399812998946,nan,nan,nan
laplace,1,0.1;0.3;1.0;2.0,4,precision_weighted_csm,0.016853701769729133,1.4399779608229676e-10,nan,nan
laplace,1,0.1;0.3;1.0;2.0,4,uniform_csm,1.4975709474698171,nan,nan,nan
laplace,1,0.1;0.3;1.0;2.0,4,analytic_precision_mean,0.016853701791830475,nan,nan,nan
laplace,1,0.1;0.3;1.0;2.0,5,precision_weighted_csm,0.027451322517041656,2.0105826436439646e-10,nan,nan
laplace,1,0.1;0.3;1.0;2.0,5,uniform_csm,7.24434487768954,nan,nan,nan
laplace,1,0.1;0.3;1.0;2.0,5,analytic_precision_mean,0.027451322499426466,nan,nan,nan
laplace,1,0.1;0.3;1.0;2.0,6,precision_weighted_csm,0.0066031380767194135,1.076026899783374e-10,nan,nan
laplace,1,0.1;0.3;1.0;2.0,6,uniform_csm,1.1041824107404246,nan,nan,nan
laplace,1,0.1;0.3;1.0;2.0,6,analytic_precision_mean,0.006603138085889261,nan,nan,nan
laplace,1,0.1;0.3;1.0;2.0,7,precision_weighted_csm,0.015287137155636297,2.2744030444015357e-10,nan,nan
laplace,1,0.1;0.3;1.0;2.0,7,uniform_csm,1.0175996159278158,nan,nan,nan
laplace,1,0.1;0.3;1.0;2.0,7,analytic_precision_mean,0.01528713716005756,nan,nan,nan
laplace,1,0.1;0.3;1.0;2.0,8,precision_weighted_csm,0.02068181005940646,1.4675932091777564e-10,nan,nan
laplace,1,0.1;0.3;1.0;2.0,8,uniform_csm,0.1695671132694733,nan,nan,nan
laplace,1,0.1;0.3;1.0;2.0,8,analytic_precision_mean,0.02068181004429618,nan,nan,nan
laplace,1,0.1;0.3;1.0;2.0,9,precision_weighted_csm,0.04682086063994852,1.2718138909223567e-10,nan,nan
laplace,1,0.1;0.3;1.0;2.0,9,uniform_csm,0.9527847229540017,nan,nan,nan
laplace,1,0.1;0.3;1.0;2.0,9,analytic_precision_mean,0.046820860602517084,nan,nan,nan
laplace,1,0.1;0.3;1.0;2.0,10,precision_weighted_csm,0.02866126545356324,2.2802441511898456e-10,nan,nan
laplace,1,0.1;0.3;1.0;2.0,10,uniform_csm,1.0825109157692858,nan,nan,nan
laplace,1,0.1;0.3;1.0;2.0,10,analytic_precision_mean,0.028661265475571962,nan,nan,nan
laplace,1,0.1;0.3;1.0;2.0,11,precision_weighted_csm,0.03348225602715619,8.717935103462602e-11,nan,nan
laplace,1,0.1;0.3;1.0;2.0,11,uniform_csm,0.811254742029564,nan,nan,nan
laplace,1,0.1;0.3;1.0;2.0,11,analytic_precision_mean,0.03348225603621191,nan,nan,nan
laplace,1,0.1;0.3;1.0;2.0,12,precision_weighted_csm,0.03297034996180898,1.902035988476472e-10,nan,nan
laplace,1,0.1;0.3;1.0;2.0,12,uniform_csm,0.4796816749255474,nan,nan,nan
laplace,1,0.1;0.3;1.0;2.0,12,analytic_precision_mean,0.032970349943970544,nan,nan,nan
laplace,1,0.1;0.3;1.0;2.0,13,precision_weighted_csm,0.05032556564542652,8.045401399169897e-11,nan,nan
laplace,1,0.1;0.3;1.0;2.0,13,uniform_csm,3.541539996839204,nan,nan,nan
laplace,1,0.1;0.3;1.0;2.0,13,analytic_precision_mean,0.05032556564726284,nan,nan,nan
laplace,1,0.1;0.3;1.0;2.0,14,precision_weighted_csm,0.12215660994285137,2.9019106937114356e-10,nan,nan
laplace,1,0.1;0.3;1.0;2.0,14,uniform_csm,0.13448092958779495,nan,nan,nan
laplace,1,0.1;0.3;1.0;2.0,14,analytic_precision_mean,0.1221566099809969,nan,nan,nan
laplace,1,0.1;0.3;1.0;2.0,15,precision_weighted_csm,0.04598514633563575,2.256564291857016e-10,nan,nan
