data_model,sigma,repeats,seed,method,mean_squared_error,p90_squared_error,selected_temperature,csm_oracle_relative_difference,gaussian_unregularized_expected_risk
linear_gaussian,0.1,4,6,hebbian,2.0204398751382167,3.912215556904602,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,6,softmax,0.006921530415674514,0.010417791057388695,0.1,nan,0.010000000000000002
linear_gaussian,0.1,4,6,oracle_ridge,0.0069271914880958095,0.010442056528355653,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,7,csm,0.008582376480535165,0.012138690513823665,nan,3.252838381774626e-16,0.010000000000000002
linear_gaussian,0.1,4,7,simple_average,0.008582376481086729,0.012138690515399148,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,7,hebbian,1.2540257142048992,2.240448757509511,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,7,softmax,0.008574259535785042,0.012118203270037868,0.1,nan,0.010000000000000002
linear_gaussian,0.1,4,7,oracle_ridge,0.00858237648053516,0.012138690513823656,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,8,csm,0.013932596685233117,0.03127003425433405,nan,2.9773892871524237e-16,0.010000000000000002
linear_gaussian,0.1,4,8,simple_average,0.013932596684864372,0.03127003425377062,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,8,hebbian,2.359150267398367,4.233945308278755,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,8,softmax,0.013932596684864372,0.03127003425377062,0.001,nan,0.010000000000000002
linear_gaussian,0.1,4,8,oracle_ridge,0.013932596685233124,0.03127003425433406,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,9,csm,0.007581685581145452,0.016533349638719753,nan,3.1995500500661345e-16,0.010000000000000002
linear_gaussian,0.1,4,9,simple_average,0.007581685581306632,0.01653334963984083,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,9,hebbian,0.997993260114623,1.595074127157299,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,9,softmax,0.0075816395016472336,0.016522605623723034,0.1,nan,0.010000000000000002
linear_gaussian,0.1,4,9,oracle_ridge,0.007581685581145446,0.016533349638719743,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,10,csm,0.006437563311110236,0.012747883239168704,nan,3.565917382863905e-16,0.010000000000000002
linear_gaussian,0.1,4,10,simple_average,0.006437563311258042,0.012747883240210704,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,10,hebbian,2.5602535068702896,4.012101246848904,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,10,softmax,0.006437563311258042,0.012747883240210705,0.001,nan,0.010000000000000002
linear_gaussian,0.1,4,10,oracle_ridge,0.006437563311110238,0.012747883239168704,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,11,csm,0.010101391241373815,0.018716381635425248,nan,2.519841413279416e-16,0.010000000000000002
linear_gaussian,0.1,4,11,simple_average,0.010101391241885919,0.01871638163830342,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,11,hebbian,2.088539452108841,3.6108308995361775,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,11,softmax,0.010099030981671517,0.01868995151782672,0.1,nan,0.010000000000000002
